,title,categories
0,gilead,Fiction
1,spider's web,Detective and mystery stories
2,the one tree,American fiction
3,rage of angels,Fiction
4,the four loves,Christian life
5,the problem of pain,Christian life
6,an autobiography,"Authors, English"
7,empires of the monsoon,"Africa, East"
8,the gap into madness,"Hyland, Morn (Fictitious character)"
9,master of the game,Adventure stories
10,if tomorrow comes,Adventure stories
11,assassin's apprentice,American fiction
12,warhost of vastmark,Fiction
13,the once and future king,Arthurian romances
14,murder in lamut,Adventure stories
15,jimmy the hand,Fantasy fiction
16,well of darkness,unknown
17,witness for the prosecution & selected plays,English drama
18,the little house,Country life
19,mystical paths,English fiction
